attention,baseline_cosine_similarity,baseline_host_prepare_submit_ms,baseline_max_abs_error,baseline_max_rel_error,baseline_mean_abs_error,baseline_nonfinite_count,baseline_sha256,baseline_vs_reference,benchmark_base,block_table_stride,block_table_width,cache_layout,candidate_cosine_similarity,candidate_host_prepare_submit_ms,candidate_max_abs_error,candidate_max_rel_error,candidate_mean_abs_error,candidate_nonfinite_count,candidate_sha256,candidate_vs_baseline,candidate_vs_reference,cann_version,capture_kv_lens,capture_q_lens,case,causal,device,device_index,device_name,draft_width,dtype,gqa_interleave,head_dim,kv_cache_stride,kv_length,length_pattern,m,max_q_len,min_runtime_kv_length,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,pair_cosine_similarity,pair_max_abs_error,pair_max_rel_error,pair_mean_abs_error,pair_nonfinite_count,physical_pages,python_version,q_buffer_rows,q_stride,real_batch_size,record_type,runtime_kv_lens,runtime_q_lens,scheduled_batch_size,schema_version,seed,sink_dtype,softmax_scale,status,swa_left_window,table_width_mode,topology,torch_npu_version,torch_version,tp_size,triton_version,workspace_commit
full,0.9999974966049194,0.46112085692584515,0.001953125,85.81206512451172,3.545907384250313e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[128, 1]",128,native_NHD_then_page_head_token_dim_permute,0.9999974966049194,1.4397099148482084,0.001953125,85.81206512451172,3.545907384250313e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,"[8175, 8138, 8101, 8064, 8027, 7990, 7953, 8173, 8136, 8099, 8062, 8025, 7988, 7951, 8171, 8134, 8097, 8060, 8023, 7986, 7949, 8169, 8132, 8095, 8058, 8021, 7984, 7947, 8167, 8130, 8093, 8056]","[16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",full_ragged_prefill_b32_m513_kv8192_ragged_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",8192,ragged,513,17,7947,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,4050,3.11.10,513,"[1536, 256, 1]",32,correctness,"[8175, 8138, 8101, 8064, 8027, 7990, 7953, 8173, 8136, 8099, 8062, 8025, 7988, 7951, 8171, 8134, 8097, 8060, 8023, 7986, 7949, 8169, 8132, 8095, 8058, 8021, 7984, 7947, 8167, 8130, 8093, 8056]","[16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",32,1,20260829,float32,0.09119556747428784,PASS,,compact,ragged_prefill,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.9999974370002747,0.6662160158157349,0.001953125,150.30242919921875,4.828747478313744e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999974370002747,1.2917229905724525,0.001953125,150.30242919921875,4.828747478313744e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960, 3923, 3886, 3849, 4069, 4032, 3995, 3958, 3921, 3884, 3847, 4067, 4030, 3993, 3956, 3919, 3882, 3845, 4065, 4028, 3991, 3954, 3917, 3880, 3843]","[19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18]",full_ragged_prefill_b56_m1024_kv4096_ragged_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,ragged,1024,19,3843,28,1,6,56,64,0.9999999403953552,0.0,0.0,0.0,0.0,3494,3.11.10,1024,"[1536, 256, 1]",56,correctness,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960, 3923, 3886, 3849, 4069, 4032, 3995, 3958, 3921, 3884, 3847, 4067, 4030, 3993, 3956, 3919, 3882, 3845, 4065, 4028, 3991, 3954, 3917, 3880, 3843]","[19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18]",56,1,20260829,float32,0.09119556747428784,PASS,,compact,ragged_prefill,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999977946281433,0.0,0.00390625,45.98113250732422,0.00011049532622564584,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999977946281433,0.0,0.00390625,45.98113250732422,0.00011049532622564584,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,"[4079, 4042, 4005, 3968, 3931, 3894, 3857]","[18, 19, 18, 18, 19, 18, 19]",swa_ragged_prefill_b7_m129_kv4096_ragged_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,ragged,129,19,3857,28,1,6,56,64,0.9999999403953552,0.0,0.0,0.0,0.0,66,3.11.10,129,"[1536, 256, 1]",7,correctness,"[4079, 4042, 4005, 3968, 3931, 3894, 3857]","[18, 19, 18, 18, 19, 18, 19]",7,1,20260829,float32,0.09119556747428784,PASS,511,compact,ragged_prefill,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999979138374329,0.0,0.00390625,264.7135314941406,0.00011090237967437133,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[128, 1]",128,native_NHD_then_page_head_token_dim_permute,0.9999979138374329,0.0,0.00390625,264.7135314941406,0.00011090237967437133,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,"[8175, 8138, 8101, 8064, 8027, 7990, 7953, 8173, 8136, 8099, 8062, 8025, 7988, 7951, 8171, 8134, 8097, 8060, 8023, 7986, 7949, 8169, 8132, 8095, 8058, 8021, 7984, 7947, 8167, 8130, 8093, 8056]","[16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",swa_ragged_prefill_b32_m513_kv8192_ragged_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",8192,ragged,513,17,7947,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,296,3.11.10,513,"[1536, 256, 1]",32,correctness,"[8175, 8138, 8101, 8064, 8027, 7990, 7953, 8173, 8136, 8099, 8062, 8025, 7988, 7951, 8171, 8134, 8097, 8060, 8023, 7986, 7949, 8169, 8132, 8095, 8058, 8021, 7984, 7947, 8167, 8130, 8093, 8056]","[16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",32,1,20260829,float32,0.09119556747428784,PASS,511,compact,ragged_prefill,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999978542327881,0.0,0.0078125,334.62579345703125,0.00011045255814678967,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999978542327881,0.0,0.0078125,334.62579345703125,0.00011045255814678967,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960, 3923, 3886, 3849, 4069, 4032, 3995, 3958, 3921, 3884, 3847, 4067, 4030, 3993, 3956, 3919, 3882, 3845, 4065, 4028, 3991, 3954, 3917, 3880, 3843]","[19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18]",swa_ragged_prefill_b56_m1024_kv4096_ragged_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,ragged,1024,19,3843,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,520,3.11.10,1024,"[1536, 256, 1]",56,correctness,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960, 3923, 3886, 3849, 4069, 4032, 3995, 3958, 3921, 3884, 3847, 4067, 4030, 3993, 3956, 3919, 3882, 3845, 4065, 4028, 3991, 3954, 3917, 3880, 3843]","[19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18, 19, 18, 18, 18, 18]",56,1,20260829,float32,0.09119556747428784,PASS,511,compact,ragged_prefill,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.999997079372406,0.21176598966121674,0.0009765625,2.3333332538604736,5.393816900323145e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.999997079372406,0.24852505885064602,0.0009765625,2.3333332538604736,5.393816900323145e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[4096],[1],full_dense_m1_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,uniform,1,1,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,65,3.11.10,1,"[1536, 256, 1]",1,correctness,[4096],[1],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.9999969005584717,0.21293596364557743,0.0009765625,4.540669918060303,5.208838774706237e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999969005584717,0.22908509708940983,0.0009765625,4.540669918060303,5.208838774706237e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[4096],[2],full_dense_m2_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,uniform,2,2,4096,28,1,6,56,64,0.9999999403953552,0.0,0.0,0.0,0.0,65,3.11.10,2,"[1536, 256, 1]",1,correctness,[4096],[2],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.9999976754188538,0.21442491561174393,0.001953125,67.78165435791016,4.796831126441248e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999976754188538,0.260084867477417,0.001953125,67.78165435791016,4.796831126441248e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[4096],[3],full_dense_m3_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,uniform,3,3,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,65,3.11.10,3,"[1536, 256, 1]",1,correctness,[4096],[3],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.9999974966049194,0.2096549142152071,0.0009765625,3.076555013656616,4.7484878450632095e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999974966049194,0.22271485067903996,0.0009765625,3.076555013656616,4.7484878450632095e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[4096],[7],full_dense_m7_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,uniform,7,7,4096,28,1,6,56,64,1.0000001192092896,0.0,0.0,0.0,0.0,65,3.11.10,7,"[1536, 256, 1]",1,correctness,[4096],[7],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.999997615814209,0.26592379435896873,0.0009765625,25.66666603088379,4.610943142324686e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.999997615814209,0.2268149983137846,0.0009765625,25.66666603088379,4.610943142324686e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[4096],[8],full_dense_m8_kv4096_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,uniform,8,8,4096,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,65,3.11.10,8,"[1536, 256, 1]",1,correctness,[4096],[8],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
